$\epsilon$,$C_I$,value,fp_num,name,stability
1.0,0.11571428571428571,118.861731497660,2,S,False
1.0,0.11571428571428571,0.00272727272727273,2,N,False
1.0,0.11571428571428571,0.00532971948113409,2,C,False
1.0,0.11571428571428571,104.929870129870,3,H,True
1.0,0.11571428571428571,16.7634292223754,3,S,True
1.0,0.11571428571428571,0.00272727272727273,3,N,True
1.0,0.11571428571428571,0.0637105992910030,3,C,True
1.0,0.12142857142857143,17.1428571428571,0,H,False
1.0,0.12142857142857143,0.0,0,S,False
1.0,0.12142857142857143,0.0180900000000000,0,N,False
1.0,0.12142857142857143,0.181428571428571,0,C,False
1.0,0.12142857142857143,17.1428571428571,1,H,True
1.0,0.12142857142857143,51.0575139146568,1,S,True
1.0,0.12142857142857143,0.0180900000000000,1,N,True
1.0,0.12142857142857143,0.00272727272727273,1,C,True
1.0,0.12142857142857143,104.929870129870,2,H,False
1.0,0.12142857142857143,129.259351579554,2,S,False
1.0,0.12142857142857143,0.00272727272727273,2,N,False
1.0,0.12142857142857143,0.00509853700660463,2,C,False
1.0,0.12142857142857143,104.929870129870,3,H,True
1.0,0.12142857142857143,16.3591301052308,3,S,True
1.0,0.12142857142857143,0.00272727272727273,3,N,True
1.0,0.12142857142857143,0.0696560674798180,3,C,True
1.0,0.12714285714285714,17.1428571428571,0,H,False
1.0,0.12714285714285714,0.0,0,S,False
1.0,0.12714285714285714,0.0180900000000000,0,N,False
1.0,0.12714285714285714,0.187142857142857,0,C,False
1.0,0.12714285714285714,17.1428571428571,1,H,True
1.0,0.12714285714285714,52.6901669758813,1,S,True
1.0,0.12714285714285714,0.0180900000000000,1,N,True
1.0,0.12714285714285714,0.00272727272727273,1,C,True
1.0,0.12714285714285714,104.929870129870,2,H,False
1.0,0.12714285714285714,139.588968621188,2,S,False
1.0,0.12714285714285714,0.00272727272727273,2,N,False
1.0,0.12714285714285714,0.00490623938355337,2,C,False
1.0,0.12714285714285714,104.929870129870,3,H,True
1.0,0.12714285714285714,16.0228340283466,3,S,True
1.0,0.12714285714285714,0.00272727272727273,3,N,True
1.0,0.12714285714285714,0.0755626508171551,3,C,True
1.0,0.13285714285714284,17.1428571428571,0,H,False
1.0,0.13285714285714284,0.0,0,S,False
1.0,0.13285714285714284,0.0180900000000000,0,N,False
1.0,0.13285714285714284,0.192857142857143,0,C,False
1.0,0.13285714285714284,17.1428571428571,1,H,True
1.0,0.13285714285714284,54.3228200371057,1,S,True
1.0,0.13285714285714284,0.0180900000000000,1,N,True
1.0,0.13285714285714284,0.00272727272727273,1,C,True
1.0,0.13285714285714284,104.929870129870,2,H,False
1.0,0.13285714285714284,149.866807414041,2,S,False
1.0,0.13285714285714284,0.00272727272727273,2,N,False
1.0,0.13285714285714284,0.00474354910608416,2,C,False
1.0,0.13285714285714284,104.929870129870,3,H,True
