$\epsilon$,$p_{\max}$,value,fp_num,name,stability
1.0357142857142858,0.7859285714285714,0.151071428571428,0,C,False
1.0357142857142858,0.7859285714285714,15.3061224489796,1,H,True
1.0357142857142858,0.7859285714285714,37.4401923497861,1,S,True
1.0357142857142858,0.7859285714285714,0.0184114285714286,1,N,True
1.0357142857142858,0.7859285714285714,0.00168506109578242,1,C,True
1.0357142857142858,0.7859285714285714,104.929870129870,2,H,False
1.0357142857142858,0.7859285714285714,72.6864661991055,2,S,False
1.0357142857142858,0.7859285714285714,0.00272727272727273,2,N,False
1.0357142857142858,0.7859285714285714,0.00420531172271044,2,C,False
1.0357142857142858,0.7859285714285714,104.929870129870,3,H,True
1.0357142857142858,0.7859285714285714,11.8982639666734,3,S,True
1.0357142857142858,0.7859285714285714,0.00272727272727273,3,N,True
1.0357142857142858,0.7859285714285714,0.0395853455112656,3,C,True
1.0357142857142858,0.8572857142857143,15.3061224489796,0,H,False
1.0357142857142858,0.8572857142857143,0.0,0,S,False
1.0357142857142858,0.8572857142857143,0.0184114285714286,0,N,False
1.0357142857142858,0.8572857142857143,0.151071428571428,0,C,False
1.0357142857142858,0.8572857142857143,15.3061224489796,1,H,True
1.0357142857142858,0.8572857142857143,37.4780409866893,1,S,True
1.0357142857142858,0.8572857142857143,0.0184114285714286,1,N,True
1.0357142857142858,0.8572857142857143,0.00153404503453844,1,C,True
1.0357142857142858,0.8572857142857143,104.929870129870,2,H,False
1.0357142857142858,0.8572857142857143,73.4460277270461,2,S,False
1.0357142857142858,0.8572857142857143,0.00272727272727273,2,N,False
1.0357142857142858,0.8572857142857143,0.00376323066855653,2,C,False
1.0357142857142858,0.8572857142857143,104.929870129870,3,H,True
1.0357142857142858,0.8572857142857143,10.7199139702940,3,S,True
1.0357142857142858,0.8572857142857143,0.00272727272727273,3,N,True
1.0357142857142858,0.8572857142857143,0.0402711704107624,3,C,True
1.0357142857142858,0.9286428571428571,15.3061224489796,0,H,False
1.0357142857142858,0.9286428571428571,0.0,0,S,False
1.0357142857142858,0.9286428571428571,0.0184114285714286,0,N,False
1.0357142857142858,0.9286428571428571,0.151071428571428,0,C,False
1.0357142857142858,0.9286428571428571,15.3061224489796,1,H,True
1.0357142857142858,0.9286428571428571,37.5096635757963,1,S,True
1.0357142857142858,0.9286428571428571,0.0184114285714285,1,N,True
1.0357142857142858,0.9286428571428571,0.00140787090400132,1,C,True
1.0357142857142858,0.9286428571428571,104.929870129870,2,H,False
1.0357142857142858,0.9286428571428571,74.0593038047007,2,S,False
1.0357142857142858,0.9286428571428571,0.00272727272727273,2,N,False
1.0357142857142858,0.9286428571428571,0.00340629087510496,2,C,False
1.0357142857142858,0.9286428571428571,104.929870129870,3,H,True
1.0357142857142858,0.9286428571428571,9.75673954110671,3,S,True
1.0357142857142858,0.9286428571428571,0.00272727272727273,3,N,True
1.0357142857142858,0.9286428571428571,0.0408317585281510,3,C,True
1.0357142857142858,1.0,15.3061224489796,0,H,False
1.0357142857142858,1.0,0.0,0,S,False
1.0357142857142858,1.0,0.0184114285714286,0,N,False
1.0357142857142858,1.0,0.151071428571428,0,C,False
1.0357142857142858,1.0,15.3061224489796,1,H,True
1.0357142857142858,1.0,37.5364796275861,1,S,True
1.0357142857142858,1.0,0.0184114285714286,1,N,True
1.0357142857142858,1.0,0.00130087485736021,1,C,True
1.0357142857142858,1.0,104.929870129870,2,H,False
1.0357142857142858,1.0,74.5652582419694,2,S,False
1.0357142857142858,1.0,0.00272727272727273,2,N,False
1.0357142857142858,1.0,0.00311181457166721,2,C,False
1.0357142857142858,1.0,104.929870129870,3,H,True
1.0357142857142858,1.0,8.95407023700405,3,S,True
1.0357142857142858,1.0,0.00272727272727273,3,N,True
1.0357142857142858,1.0,0.0412989292299856,3,C,True
1.0714285714285714,0.001,13.4693877551021,0,H,True
