$\epsilon$,$f_{\max}$,value,fp_num,name,stability
1.0357142857142858,0.0505,,1,H,False
1.0357142857142858,0.0505,,1,S,False
1.0357142857142858,0.0505,,1,N,False
1.0357142857142858,0.0505,,1,C,False
1.0357142857142858,0.0505,99.1107110711072,2,H,False
1.0357142857142858,0.0505,62.3244033932002,2,S,False
1.0357142857142858,0.0505,0.00272727272727273,2,N,False
1.0357142857142858,0.0505,0.00810646425307973,2,C,False
1.0357142857142858,0.0505,99.1107110711072,3,H,True
1.0357142857142858,0.0505,20.4446890534133,3,S,True
1.0357142857142858,0.0505,0.00272727272727273,3,N,True
1.0357142857142858,0.0505,0.0339124942497683,3,C,True
1.0357142857142858,0.05757142857142857,,0,H,False
1.0357142857142858,0.05757142857142857,,0,S,False
1.0357142857142858,0.05757142857142857,,0,N,False
1.0357142857142858,0.05757142857142857,,0,C,False
1.0357142857142858,0.05757142857142857,,1,H,False
1.0357142857142858,0.05757142857142857,,1,S,False
1.0357142857142858,0.05757142857142857,,1,N,False
1.0357142857142858,0.05757142857142857,,1,C,False
1.0357142857142858,0.05757142857142857,101.676517031356,2,H,False
1.0357142857142858,0.05757142857142857,63.9378750751907,2,S,False
1.0357142857142858,0.05757142857142857,0.00272727272727273,2,N,False
1.0357142857142858,0.05757142857142857,0.00810646425307977,2,C,False
1.0357142857142858,0.05757142857142857,101.676517031356,3,H,True
1.0357142857142858,0.05757142857142857,20.9739669131095,3,S,True
1.0357142857142858,0.05757142857142857,0.00272727272727273,3,N,True
1.0357142857142858,0.05757142857142857,0.0339124942497681,3,C,True
1.0357142857142858,0.06464285714285714,6.62983425414364,0,H,False
1.0357142857142858,0.06464285714285714,0.0,0,S,False
1.0357142857142858,0.06464285714285714,0.0184114285714286,0,N,False
1.0357142857142858,0.06464285714285714,0.151071428571429,0,C,False
1.0357142857142858,0.06464285714285714,6.62983425414364,1,H,True
1.0357142857142858,0.06464285714285714,16.0980245974772,1,S,True
1.0357142857142858,0.06464285714285714,0.0184114285714286,1,N,True
1.0357142857142858,0.06464285714285714,0.00278275020341741,1,C,True
1.0357142857142858,0.06464285714285714,103.680964339528,2,H,False
1.0357142857142858,0.06464285714285714,65.1983441129446,2,S,False
1.0357142857142858,0.06464285714285714,0.00272727272727273,2,N,False
1.0357142857142858,0.06464285714285714,0.00810646425307981,2,C,False
1.0357142857142858,0.06464285714285714,103.680964339528,3,H,True
1.0357142857142858,0.06464285714285714,21.3874469648280,3,S,True
1.0357142857142858,0.06464285714285714,0.00272727272727273,3,N,True
1.0357142857142858,0.06464285714285714,0.0339124942497679,3,C,True
1.0357142857142858,0.07171428571428572,17.8087649402391,0,H,False
1.0357142857142858,0.07171428571428572,0.0,0,S,False
1.0357142857142858,0.07171428571428572,0.0184114285714287,0,N,False
1.0357142857142858,0.07171428571428572,0.151071428571429,0,C,False
1.0357142857142858,0.07171428571428572,17.8087649402391,1,H,True
1.0357142857142858,0.07171428571428572,43.2417953555144,1,S,True
1.0357142857142858,0.07171428571428572,0.0184114285714287,1,N,True
1.0357142857142858,0.07171428571428572,0.00278275020341741,1,C,True
1.0357142857142858,0.07171428571428572,105.290112278161,2,H,False
1.0357142857142858,0.07171428571428572,66.2102345954437,2,S,False
1.0357142857142858,0.07171428571428572,0.00272727272727273,2,N,False
1.0357142857142858,0.07171428571428572,0.00810646425307996,2,C,False
