para_name,para_value,fp_num,stable,var_name,var_value
K_S,0.049713793103448284,0,False,S,0.0
K_S,0.049713793103448284,1,True,S,42.0779220779221
K_S,0.049713793103448284,2,False,S,95.4974815201398
K_S,0.049713793103448284,3,True,S,9.46014468957974
K_S,0.05384827586206897,0,False,S,0.0
K_S,0.05384827586206897,1,True,S,42.0779220779221
K_S,0.05384827586206897,2,False,S,96.9099297979145
K_S,0.05384827586206897,3,True,S,8.49819303063327
K_S,0.05798275862068966,0,False,S,0.0
K_S,0.05798275862068966,1,True,S,42.0779220779221
K_S,0.05798275862068966,2,False,S,97.8694466688590
K_S,0.05798275862068966,3,True,S,7.61305822719419
K_S,0.06211724137931035,0,False,S,0.0
K_S,0.06211724137931035,1,True,S,42.0779220779221
K_S,0.06211724137931035,2,False,S,98.3843635570069
K_S,0.06211724137931035,3,True,S,6.79640885522921
K_S,0.06625172413793104,0,False,S,0.0
K_S,0.06625172413793104,1,True,S,42.0779220779221
K_S,0.06625172413793104,2,False,S,98.4611821586143
K_S,0.06625172413793104,3,True,S,6.04174321848205
K_S,0.07038620689655173,0,False,S,0.0
K_S,0.07038620689655173,1,True,S,42.0779220779221
K_S,0.07038620689655173,2,False,S,98.1050621220736
K_S,0.07038620689655173,3,True,S,5.34390166856036
K_S,0.07452068965517242,0,False,S,0.0
K_S,0.07452068965517242,1,True,S,42.0779220779221
K_S,0.07452068965517242,2,False,S,97.3201577418246
K_S,0.07452068965517242,3,True,S,4.69872991102428
K_S,0.0786551724137931,0,False,S,0.0
K_S,0.0786551724137931,1,True,S,42.0779220779221
K_S,0.0786551724137931,2,False,S,96.1098563443238
K_S,0.0786551724137931,3,True,S,4.10284061941746
K_S,0.0827896551724138,0,False,S,0.0
K_S,0.0827896551724138,1,True,S,42.0779220779221
K_S,0.0827896551724138,2,False,S,94.4769507829329
K_S,0.0827896551724138,3,True,S,3.55344094037799
K_S,0.08692413793103448,0,False,S,0.0
K_S,0.08692413793103448,1,True,S,42.0779220779221
K_S,0.08692413793103448,2,False,S,92.4237666478979
K_S,0.08692413793103448,3,True,S,3.04820528366012
K_S,0.09105862068965517,0,False,S,0.0
K_S,0.09105862068965517,1,True,S,42.0779220779221
K_S,0.09105862068965517,2,False,S,89.9522576636039
K_S,0.09105862068965517,3,True,S,2.58517992487847
K_S,0.09519310344827586,0,False,S,0.0
K_S,0.09519310344827586,1,True,S,42.0779220779221
K_S,0.09519310344827586,2,False,S,87.0640783008621
K_S,0.09519310344827586,3,True,S,2.16271039322210
K_S,0.09932758620689656,0,False,S,0.0
K_S,0.09932758620689656,1,True,S,42.0779220779221
K_S,0.09932758620689656,2,False,S,83.7606397869268
K_S,0.09932758620689656,3,True,S,1.77938546143650
K_S,0.10346206896551725,0,False,S,0.0
K_S,0.10346206896551725,1,True,S,42.0779220779221
K_S,0.10346206896551725,2,False,S,80.0431538304221
K_S,0.10346206896551725,3,True,S,1.43399342089801
K_S,0.10759655172413794,0,False,S,0.0
K_S,0.10759655172413794,1,True,S,42.0779220779221
K_S,0.10759655172413794,2,False,S,75.9126671285982
K_S,0.10759655172413794,3,True,S,1.12548757435545
K_S,0.11173103448275863,0,False,S,0.0
K_S,0.11173103448275863,1,True,S,42.0779220779221
K_S,0.11173103448275863,2,False,S,71.3700888708453
K_S,0.11173103448275863,3,True,S,0.852958732419195
K_S,0.11586551724137932,0,False,S,0.0
K_S,0.11586551724137932,1,True,S,42.0779220779221
K_S,0.11586551724137932,2,False,S,66.4162128592617
K_S,0.11586551724137932,3,True,S,0.615613092992289
K_S,0.12,0,False,S,0.0
K_S,0.12,1,True,S,42.0779220779221
K_S,0.12,2,False,S,61.0517354483549
K_S,0.12,3,True,S,0.412754301564622
K_H,0.0,0,False,S,0.0
K_H,0.0,1,True,S,42.0779220779221
K_H,0.0,2,False,S,70.0509435356206
K_H,0.0,3,True,S,20.6042728430420
K_H,6.896551724137931e-05,0,False,S,0.0
K_H,6.896551724137931e-05,1,True,S,42.0779220779221
K_H,6.896551724137931e-05,2,False,S,70.0509435356206
K_H,6.896551724137931e-05,3,True,S,20.6042728430420
K_H,0.00013793103448275863,0,False,S,0.0
K_H,0.00013793103448275863,1,True,S,42.0779220779221
K_H,0.00013793103448275863,2,False,S,70.0509435356206
K_H,0.00013793103448275863,3,True,S,20.6042728430420
K_H,0.00020689655172413793,0,False,S,0.0
K_H,0.00020689655172413793,1,True,S,42.0779220779221
K_H,0.00020689655172413793,2,False,S,70.0509435356206
K_H,0.00020689655172413793,3,True,S,20.6042728430420
K_H,0.00027586206896551725,0,False,S,0.0
K_H,0.00027586206896551725,1,True,S,42.0779220779221
K_H,0.00027586206896551725,2,False,S,70.0509435356206
K_H,0.00027586206896551725,3,True,S,20.6042728430420
K_H,0.0003448275862068966,0,False,S,0.0
K_H,0.0003448275862068966,1,True,S,42.0779220779221
K_H,0.0003448275862068966,2,False,S,70.0509435356206
K_H,0.0003448275862068966,3,True,S,20.6042728430420
K_H,0.00041379310344827585,0,False,S,0.0
K_H,0.00041379310344827585,1,True,S,42.0779220779221
K_H,0.00041379310344827585,2,False,S,70.0509435356206
K_H,0.00041379310344827585,3,True,S,20.6042728430420
K_H,0.0004827586206896552,0,False,S,0.0
K_H,0.0004827586206896552,1,True,S,42.0779220779221
K_H,0.0004827586206896552,2,False,S,70.0509435356206
K_H,0.0004827586206896552,3,True,S,20.6042728430420
K_H,0.0005517241379310345,0,False,S,0.0
K_H,0.0005517241379310345,1,True,S,42.0779220779221
K_H,0.0005517241379310345,2,False,S,70.0509435356206
K_H,0.0005517241379310345,3,True,S,20.6042728430420
K_H,0.0006206896551724138,0,False,S,0.0
K_H,0.0006206896551724138,1,True,S,42.0779220779221
K_H,0.0006206896551724138,2,False,S,70.0509435356206
K_H,0.0006206896551724138,3,True,S,20.6042728430420
K_H,0.0006896551724137932,0,False,S,0.0
K_H,0.0006896551724137932,1,True,S,42.0779220779221
K_H,0.0006896551724137932,2,False,S,70.0509435356206
K_H,0.0006896551724137932,3,True,S,20.6042728430420
K_H,0.0007586206896551725,0,False,S,0.0
K_H,0.0007586206896551725,1,True,S,42.0779220779221
K_H,0.0007586206896551725,2,False,S,70.0509435356206
K_H,0.0007586206896551725,3,True,S,20.6042728430420
K_H,0.0008275862068965517,0,False,S,0.0
K_H,0.0008275862068965517,1,True,S,42.0779220779221
K_H,0.0008275862068965517,2,False,S,70.0509435356206
K_H,0.0008275862068965517,3,True,S,20.6042728430420
K_H,0.000896551724137931,0,False,S,0.0
K_H,0.000896551724137931,1,True,S,42.0779220779221
K_H,0.000896551724137931,2,False,S,70.0509435356206
K_H,0.000896551724137931,3,True,S,20.6042728430420
